date,region,product,customer_segment,revenue,units
2025-01-04,North America,Analytics Suite,SMB,304.12,6
2025-01-05,APAC,Dashboard Builder,SMB,406.71,3
2025-01-05,North America,Analytics Suite,Mid-Market,1709.87,3
2025-01-05,APAC,Analytics Suite,Mid-Market,1972.89,4
2025-01-05,North America,Data Connector,Mid-Market,796.5,5
2025-01-05,Europe,Data Connector,SMB,203.17,2
2025-01-05,Europe,Insight Pro,Mid-Market,1021.22,4
2025-01-06,LATAM,Dashboard Builder,Enterprise,3603.17,1
2025-01-06,North America,Dashboard Builder,Mid-Market,1336.91,6
2025-01-06,North America,Analytics Suite,SMB,422.34,4
2025-01-06,LATAM,Dashboard Builder,Enterprise,3351.89,1
2025-01-06,Europe,Insight Pro,Enterprise,4791.72,2
2025-01-06,North America,Dashboard Builder,Mid-Market,1421.46,4
2025-01-06,Europe,Insight Pro,SMB,307.14,8
2025-01-06,LATAM,Insight Pro,Mid-Market,1512.05,6
2025-01-06,North America,Insight Pro,Enterprise,3549.31,1
2025-01-06,APAC,Data Connector,SMB,290.59,2
2025-01-07,Europe,Insight Pro,Enterprise,4048.69,2
2025-01-07,LATAM,Insight Pro,Enterprise,6487.87,1
2025-01-07,APAC,Insight Pro,Mid-Market,1241.69,2
2025-01-07,North America,Data Connector,Mid-Market,1492.26,5
2025-01-07,LATAM,Dashboard Builder,SMB,233.03,3
2025-01-07,North America,Analytics Suite,SMB,183.1,4
2025-01-08,APAC,Dashboard Builder,SMB,519.58,2
2025-01-08,North America,Insight Pro,Mid-Market,1131.92,5
2025-01-08,Europe,Insight Pro,Enterprise,5720.65,1
2025-01-08,Europe,Insight Pro,Enterprise,4679.22,1
2025-01-08,Europe,Dashboard Builder,Mid-Market,865.37,1
2025-01-08,North America,Analytics Suite,Mid-Market,1107.5,2
2025-01-08,Europe,Analytics Suite,SMB,353.56,4
2025-01-08,North America,Data Connector,Mid-Market,1131.68,5
2025-01-09,APAC,Dashboard Builder,Enterprise,3947.56,1
2025-01-09,North America,Data Connector,Mid-Market,877.94,1
2025-01-09,LATAM,Data Connector,Enterprise,4484.69,1
2025-01-09,Europe,Dashboard Builder,SMB,271.87,4
2025-01-09,Europe,Analytics Suite,Mid-Market,701.42,3
2025-01-09,APAC,Dashboard Builder,Mid-Market,564.18,7
2025-01-10,APAC,Insight Pro,Enterprise,4239.68,1
2025-01-10,APAC,Analytics Suite,Enterprise,1275.67,1
2025-01-10,Europe,Data Connector,Enterprise,6382.19,1
2025-01-11,North America,Insight Pro,Enterprise,3417.45,1
2025-01-11,North America,Insight Pro,SMB,255.72,2
2025-01-11,North America,Analytics Suite,Mid-Market,1002.98,2
2025-01-11,Europe,Dashboard Builder,SMB,273.78,3
2025-01-11,North America,Analytics Suite,Mid-Market,914.9,2
2025-01-12,North America,Insight Pro,Mid-Market,1618.6,2
2025-01-12,North America,Data Connector,Mid-Market,1179.6,2
2025-01-12,Europe,Analytics Suite,SMB,330.48,3
2025-01-12,Europe,Dashboard Builder,Mid-Market,1587.2,2
2025-01-12,North America,Insight Pro,Mid-Market,1636.78,1
2025-01-13,North America,Data Connector,SMB,240.74,2
2025-01-13,APAC,Data Connector,Mid-Market,1461.61,3
2025-01-13,North America,Insight Pro,Mid-Market,970.91,1
2025-01-13,APAC,Analytics Suite,Enterprise,1894.86,1
2025-01-14,APAC,Data Connector,SMB,299.16,3
2025-01-14,North America,Analytics Suite,Mid-Market,1650.07,6
2025-01-14,LATAM,Data Connector,Enterprise,4423.78,1
2025-01-14,Europe,Data Connector,SMB,353.78,1
2025-01-14,North America,Insight Pro,SMB,232.09,3
2025-01-14,North America,Data Connector,Mid-Market,1386.02,5
2025-01-14,APAC,Insight Pro,Enterprise,4368.31,1
2025-01-15,Europe,Analytics Suite,Mid-Market,721.16,2
2025-01-15,Europe,Insight Pro,Mid-Market,715.91,1
2025-01-15,North America,Dashboard Builder,Enterprise,4108.77,1
2025-01-15,North America,Dashboard Builder,SMB,352.43,4
2025-01-15,North America,Dashboard Builder,Enterprise,2841.28,1
2025-01-16,Europe,Dashboard Builder,Enterprise,3719.56,1
2025-01-16,North America,Dashboard Builder,Enterprise,5384.99,1
2025-01-16,Europe,Dashboard Builder,SMB,352.62,3
2025-01-16,North America,Dashboard Builder,Mid-Market,1465.96,4
2025-01-16,Europe,Insight Pro,Mid-Market,1101.93,1
2025-01-16,North America,Dashboard Builder,Mid-Market,1392.7,6
2025-01-16,APAC,Insight Pro,Enterprise,5160.79,1
2025-01-16,North America,Analytics Suite,Enterprise,4705.91,1
2025-01-16,APAC,Insight Pro,SMB,325.21,5
2025-01-17,Europe,Analytics Suite,SMB,306.92,1
2025-01-17,Europe,Analytics Suite,Enterprise,3630.89,1
2025-01-17,North America,Analytics Suite,Mid-Market,1247.58,4
2025-01-17,North America,Analytics Suite,Enterprise,3611.25,1
2025-01-17,Europe,Dashboard Builder,Mid-Market,930.51,1
2025-01-17,North America,Dashboard Builder,SMB,248.57,5
2025-01-17,North America,Dashboard Builder,Mid-Market,1458.14,6
2025-01-17,North America,Insight Pro,SMB,344.46,2
2025-01-18,APAC,Insight Pro,SMB,404.74,3
2025-01-18,Europe,Analytics Suite,Mid-Market,1152.13,2
2025-01-18,Europe,Insight Pro,SMB,310.0,2
2025-01-19,North America,Insight Pro,Enterprise,5290.43,1
2025-01-19,North America,Data Connector,Enterprise,1503.72,2
2025-01-19,APAC,Data Connector,Mid-Market,1221.3,2
2025-01-19,APAC,Dashboard Builder,Enterprise,2738.1,1
2025-01-19,LATAM,Insight Pro,SMB,334.59,3
2025-01-19,APAC,Analytics Suite,SMB,256.5,6
2025-01-19,North America,Insight Pro,SMB,126.56,2
2025-01-20,Europe,Dashboard Builder,Mid-Market,1266.28,4
2025-01-20,APAC,Dashboard Builder,SMB,284.93,1
2025-01-20,North America,Insight Pro,Mid-Market,1420.18,2
2025-01-21,North America,Dashboard Builder,Mid-Market,1645.17,3
2025-01-21,Europe,Insight Pro,Mid-Market,1183.36,8
2025-01-21,North America,Analytics Suite,SMB,420.3,2
2025-01-22,North America,Insight Pro,Mid-Market,1739.34,2
2025-01-22,Europe,Analytics Suite,SMB,207.35,3
2025-01-22,APAC,Analytics Suite,Mid-Market,1259.93,4
2025-01-22,North America,Insight Pro,Mid-Market,1465.03,2
2025-01-23,Europe,Insight Pro,Mid-Market,676.77,5
2025-01-23,North America,Dashboard Builder,SMB,443.57,3
2025-01-23,LATAM,Dashboard Builder,Mid-Market,1072.96,4
2025-01-23,North America,Insight Pro,SMB,241.42,2
2025-01-23,APAC,Dashboard Builder,SMB,343.43,2
2025-01-23,North America,Data Connector,SMB,367.65,2
2025-01-23,North America,Analytics Suite,Mid-Market,1142.03,6
2025-01-23,North America,Dashboard Builder,SMB,454.09,2
2025-01-23,North America,Analytics Suite,SMB,387.92,1
2025-01-24,North America,Dashboard Builder,SMB,375.96,4
2025-01-24,North America,Dashboard Builder,Mid-Market,499.06,2
2025-01-24,Europe,Insight Pro,Mid-Market,1177.97,1
2025-01-24,North America,Insight Pro,Enterprise,2870.0,4
2025-01-25,APAC,Dashboard Builder,Mid-Market,1482.9,4
2025-01-25,North America,Dashboard Builder,Mid-Market,1430.71,1
2025-01-25,North America,Dashboard Builder,SMB,390.06,6
2025-01-25,APAC,Insight Pro,Mid-Market,247.36,3
2025-01-25,North America,Insight Pro,Mid-Market,723.65,4
2025-01-26,Europe,Data Connector,Mid-Market,1317.36,4
2025-01-26,Europe,Analytics Suite,Mid-Market,1615.38,4
2025-01-26,North America,Data Connector,Enterprise,6262.87,1
2025-01-26,Europe,Dashboard Builder,SMB,336.19,2
2025-01-26,Europe,Insight Pro,Enterprise,4026.13,3
2025-01-27,North America,Analytics Suite,SMB,404.88,1
2025-01-27,Europe,Analytics Suite,Mid-Market,858.12,4
2025-01-27,LATAM,Dashboard Builder,SMB,454.6,3
2025-01-27,North America,Dashboard Builder,Mid-Market,1304.11,2
2025-01-27,APAC,Data Connector,Mid-Market,1814.24,1
2025-01-27,Europe,Dashboard Builder,Mid-Market,1393.79,1
2025-01-27,North America,Analytics Suite,Mid-Market,1204.89,3
2025-01-27,Europe,Analytics Suite,Enterprise,5390.76,2
2025-01-27,Europe,Dashboard Builder,Mid-Market,1130.56,4
2025-01-27,North America,Analytics Suite,SMB,259.65,2
2025-01-27,Europe,Insight Pro,Mid-Market,1434.32,5
2025-01-28,LATAM,Analytics Suite,SMB,287.68,3
2025-01-28,APAC,Analytics Suite,Mid-Market,914.93,2
2025-01-28,North America,Insight Pro,Enterprise,3689.55,1
2025-01-28,Europe,Analytics Suite,Enterprise,5200.83,1
2025-01-28,APAC,Data Connector,SMB,267.16,7
2025-01-28,North America,Insight Pro,Mid-Market,1566.06,2
2025-01-28,APAC,Dashboard Builder,Mid-Market,1736.37,4
2025-01-28,APAC,Analytics Suite,Enterprise,5490.08,1
2025-01-28,North America,Data Connector,SMB,222.75,2
2025-01-28,North America,Dashboard Builder,SMB,337.86,6
2025-01-29,APAC,Analytics Suite,Mid-Market,1852.48,4
2025-01-29,North America,Data Connector,Enterprise,3140.18,1
2025-01-29,North America,Insight Pro,Mid-Market,1010.64,2
2025-01-29,Europe,Data Connector,Enterprise,3673.64,1
2025-01-29,North America,Analytics Suite,Enterprise,5536.59,1
2025-01-29,North America,Insight Pro,Enterprise,3507.99,1
2025-01-29,LATAM,Data Connector,SMB,231.74,4
2025-01-29,North America,Data Connector,SMB,172.38,9
2025-01-30,Europe,Analytics Suite,Mid-Market,1864.77,2
2025-01-30,North America,Data Connector,Mid-Market,1348.26,4
2025-01-31,Europe,Analytics Suite,Mid-Market,1348.69,3
2025-01-31,North America,Insight Pro,Enterprise,3558.57,1
2025-01-31,North America,Data Connector,Mid-Market,1794.54,3
2025-01-31,North America,Analytics Suite,Mid-Market,1310.86,5
2025-02-01,Europe,Dashboard Builder,Enterprise,4452.91,1
2025-02-01,North America,Data Connector,SMB,369.92,1
2025-02-01,APAC,Analytics Suite,Enterprise,5430.68,1
2025-02-01,APAC,Analytics Suite,Mid-Market,1364.3,2
2025-02-01,North America,Insight Pro,Enterprise,3791.28,1
2025-02-01,Europe,Analytics Suite,SMB,255.23,1
2025-02-02,APAC,Dashboard Builder,Mid-Market,1337.75,3
2025-02-02,North America,Data Connector,SMB,324.65,6
2025-02-02,APAC,Analytics Suite,Mid-Market,1219.46,2
2025-02-02,APAC,Data Connector,SMB,474.87,4
2025-02-02,Europe,Dashboard Builder,Mid-Market,1325.21,3
2025-02-02,LATAM,Insight Pro,Mid-Market,1099.77,5
2025-02-03,North America,Insight Pro,Enterprise,3950.69,1
2025-02-03,APAC,Data Connector,Enterprise,4389.85,1
2025-02-03,APAC,Analytics Suite,Mid-Market,1560.72,5
2025-02-03,Europe,Analytics Suite,SMB,359.16,1
2025-02-03,APAC,Insight Pro,Mid-Market,1287.0,4
2025-02-03,North America,Insight Pro,Mid-Market,1355.39,3
2025-02-04,North America,Analytics Suite,Mid-Market,803.62,2
2025-02-04,APAC,Dashboard Builder,SMB,305.95,2
2025-02-04,Europe,Insight Pro,Mid-Market,1229.8,4
2025-02-04,North America,Insight Pro,Enterprise,3491.32,3
2025-02-05,Europe,Insight Pro,Mid-Market,1164.92,3
2025-02-05,APAC,Dashboard Builder,Enterprise,4609.61,1
2025-02-05,North America,Insight Pro,Mid-Market,1262.57,2
2025-02-05,APAC,Analytics Suite,Mid-Market,1414.95,3
2025-02-05,APAC,Dashboard Builder,Enterprise,4761.3,2
2025-02-05,Europe,Analytics Suite,Enterprise,4694.12,1
2025-02-06,Europe,Dashboard Builder,Mid-Market,1021.09,1
2025-02-06,North America,Insight Pro,Mid-Market,1605.62,1
2025-02-06,Europe,Dashboard Builder,SMB,263.17,3
2025-02-06,LATAM,Dashboard Builder,Mid-Market,1043.84,2
2025-02-06,North America,Insight Pro,SMB,311.09,3
2025-02-06,North America,Data Connector,Enterprise,3136.05,1
2025-02-07,APAC,Analytics Suite,Mid-Market,1610.74,2
2025-02-07,North America,Analytics Suite,Enterprise,5577.36,1
2025-02-08,North America,Data Connector,Mid-Market,1101.52,2
2025-02-08,LATAM,Dashboard Builder,SMB,409.4,3
2025-02-08,North America,Dashboard Builder,Enterprise,4893.4,1
2025-02-08,North America,Data Connector,Mid-Market,1630.38,1
2025-02-08,North America,Analytics Suite,Mid-Market,716.29,1
2025-02-09,Europe,Data Connector,SMB,426.54,1
2025-02-09,North America,Analytics Suite,Enterprise,2612.77,1
2025-02-09,APAC,Dashboard Builder,SMB,297.0,3
2025-02-09,Europe,Dashboard Builder,SMB,285.97,8
2025-02-09,APAC,Insight Pro,Enterprise,3796.01,1
2025-02-10,North America,Data Connector,SMB,274.29,4
2025-02-10,Europe,Data Connector,Enterprise,3841.3,1
2025-02-10,Europe,Analytics Suite,Mid-Market,1308.86,1
2025-02-10,Europe,Analytics Suite,SMB,439.1,1
2025-02-10,Europe,Dashboard Builder,Enterprise,5069.34,1
2025-02-11,Europe,Dashboard Builder,Enterprise,3001.76,1
2025-02-11,Europe,Insight Pro,Enterprise,2744.93,1
2025-02-11,Europe,Dashboard Builder,Enterprise,6163.1,1
2025-02-11,Europe,Data Connector,Mid-Market,1534.32,3
2025-02-11,North America,Analytics Suite,SMB,310.11,5
2025-02-12,Europe,Insight Pro,SMB,306.81,3
2025-02-12,APAC,Insight Pro,SMB,253.86,5
2025-02-12,North America,Dashboard Builder,SMB,345.54,2
2025-02-12,Europe,Insight Pro,Mid-Market,1007.05,5
2025-02-12,Europe,Dashboard Builder,Mid-Market,861.41,3
2025-02-13,North America,Dashboard Builder,Mid-Market,1333.55,2
2025-02-13,LATAM,Dashboard Builder,SMB,263.5,3
2025-02-13,Europe,Dashboard Builder,SMB,325.27,6
2025-02-13,LATAM,Dashboard Builder,SMB,187.49,3
2025-02-13,APAC,Dashboard Builder,Mid-Market,1205.61,5
2025-02-13,APAC,Insight Pro,Enterprise,5350.06,1
2025-02-13,Europe,Data Connector,Enterprise,3443.1,1
2025-02-14,North America,Dashboard Builder,Enterprise,6063.2,1
2025-02-14,North America,Insight Pro,Mid-Market,1422.79,5
2025-02-14,Europe,Dashboard Builder,Mid-Market,1588.62,4
2025-02-14,North America,Insight Pro,SMB,399.17,4
2025-02-14,North America,Insight Pro,Mid-Market,496.79,4
2025-02-15,APAC,Analytics Suite,SMB,453.45,4
2025-02-15,North America,Data Connector,SMB,260.32,3
2025-02-15,North America,Dashboard Builder,Enterprise,2304.92,1
2025-02-15,Europe,Data Connector,Enterprise,4003.78,1
2025-02-15,North America,Dashboard Builder,Mid-Market,1445.42,4
2025-02-15,North America,Dashboard Builder,Enterprise,2232.59,1
2025-02-15,North America,Insight Pro,Enterprise,4405.26,5
2025-02-16,LATAM,Insight Pro,Mid-Market,1402.09,3
2025-02-16,Europe,Dashboard Builder,Enterprise,4974.29,1
2025-02-16,Europe,Insight Pro,Mid-Market,1676.58,2
2025-02-16,Europe,Dashboard Builder,Enterprise,4871.28,1
2025-02-16,North America,Analytics Suite,Enterprise,3920.32,1
2025-02-16,North America,Data Connector,Mid-Market,1580.72,1
2025-02-16,Europe,Data Connector,Mid-Market,1006.71,2
2025-02-16,Europe,Dashboard Builder,SMB,402.03,2
2025-02-17,APAC,Dashboard Builder,Mid-Market,991.31,3
2025-02-17,Europe,Insight Pro,SMB,385.91,4
2025-02-17,North America,Analytics Suite,Mid-Market,729.88,2
2025-02-17,North America,Analytics Suite,SMB,375.77,1
2025-02-17,North America,Dashboard Builder,Mid-Market,1498.7,1
2025-02-17,North America,Insight Pro,SMB,304.28,3
2025-02-18,APAC,Insight Pro,Enterprise,5327.95,1
2025-02-18,Europe,Data Connector,Mid-Market,1181.75,2
2025-02-18,North America,Dashboard Builder,Enterprise,5855.34,1
2025-02-18,North America,Insight Pro,SMB,324.34,5
2025-02-18,Europe,Analytics Suite,Mid-Market,1036.84,2
2025-02-18,North America,Dashboard Builder,SMB,362.31,3
2025-02-18,North America,Insight Pro,SMB,469.67,2
2025-02-18,Europe,Analytics Suite,Enterprise,4531.17,1
2025-02-19,Europe,Dashboard Builder,Enterprise,4768.52,1
2025-02-20,North America,Insight Pro,Enterprise,4047.34,1
2025-02-20,LATAM,Analytics Suite,Enterprise,4853.35,1
2025-02-21,APAC,Data Connector,Mid-Market,915.79,4
2025-02-21,North America,Dashboard Builder,Mid-Market,875.39,3
2025-02-21,APAC,Insight Pro,Mid-Market,1621.68,2
2025-02-21,APAC,Data Connector,Enterprise,4849.79,2
2025-02-21,North America,Data Connector,Mid-Market,1647.7,1
2025-02-22,APAC,Insight Pro,Mid-Market,1852.43,3
2025-02-22,North America,Analytics Suite,SMB,397.45,5
2025-02-22,Europe,Data Connector,SMB,398.77,5
2025-02-22,North America,Analytics Suite,Mid-Market,1962.9,2
2025-02-22,North America,Data Connector,Mid-Market,1395.84,2
2025-02-22,LATAM,Analytics Suite,Enterprise,3351.41,1
2025-02-22,APAC,Data Connector,SMB,359.77,2
2025-02-22,LATAM,Dashboard Builder,Mid-Market,1238.83,5
2025-02-22,Europe,Dashboard Builder,Enterprise,5119.7,4
2025-02-23,Europe,Insight Pro,Mid-Market,1376.38,3
2025-02-23,North America,Insight Pro,Enterprise,4288.23,1
2025-02-23,North America,Insight Pro,Enterprise,5080.09,3
2025-02-23,North America,Data Connector,SMB,227.45,3
2025-02-23,North America,Data Connector,SMB,248.22,1
2025-02-23,APAC,Dashboard Builder,Mid-Market,1837.59,2
2025-02-23,North America,Dashboard Builder,Mid-Market,1439.0,5
2025-02-24,APAC,Data Connector,Enterprise,4174.05,1
2025-02-24,APAC,Data Connector,Enterprise,3708.12,1
2025-02-24,North America,Insight Pro,SMB,204.5,2
2025-02-24,North America,Analytics Suite,Mid-Market,1541.3,2
2025-02-24,APAC,Dashboard Builder,Mid-Market,1324.34,4
2025-02-24,APAC,Data Connector,Mid-Market,1402.09,6
2025-02-24,North America,Insight Pro,Enterprise,4684.04,2
2025-02-24,North America,Insight Pro,Mid-Market,1402.37,1
2025-02-24,LATAM,Insight Pro,Enterprise,4945.82,1
2025-02-24,North America,Analytics Suite,Mid-Market,1739.66,6
2025-02-25,North America,Dashboard Builder,Mid-Market,1052.17,5
2025-02-25,North America,Insight Pro,Mid-Market,1092.78,6
2025-02-25,Europe,Dashboard Builder,SMB,361.28,3
2025-02-25,North America,Insight Pro,Mid-Market,1498.4,1
2025-02-25,North America,Analytics Suite,SMB,401.08,2
2025-02-25,Europe,Data Connector,Enterprise,3897.9,3
2025-02-25,North America,Insight Pro,Enterprise,2967.35,2
2025-02-25,North America,Analytics Suite,SMB,522.31,4
2025-02-25,Europe,Dashboard Builder,Mid-Market,1601.35,3
2025-02-26,LATAM,Analytics Suite,Enterprise,3213.58,1
2025-02-26,North America,Data Connector,Mid-Market,1843.23,7
2025-02-26,Europe,Data Connector,SMB,279.92,2
2025-02-27,Europe,Analytics Suite,Mid-Market,1498.53,3
2025-02-27,LATAM,Dashboard Builder,Mid-Market,1802.13,2
2025-02-28,North America,Analytics Suite,SMB,310.39,3
2025-02-28,APAC,Analytics Suite,SMB,256.56,5
2025-02-28,LATAM,Insight Pro,Mid-Market,1823.76,1
2025-02-28,LATAM,Analytics Suite,Enterprise,4204.49,1
2025-03-01,North America,Dashboard Builder,SMB,416.28,3
2025-03-01,North America,Insight Pro,SMB,278.16,6
2025-03-01,North America,Insight Pro,Enterprise,4281.87,1
2025-03-01,LATAM,Data Connector,Mid-Market,1442.39,2
2025-03-01,North America,Analytics Suite,Enterprise,3385.82,1
2025-03-02,Europe,Analytics Suite,SMB,489.4,2
2025-03-02,North America,Data Connector,Enterprise,5628.38,1
2025-03-02,Europe,Dashboard Builder,Enterprise,4947.67,1
2025-03-02,North America,Data Connector,SMB,311.1,2
2025-03-02,North America,Insight Pro,SMB,471.62,4
2025-03-02,North America,Insight Pro,Enterprise,4450.3,2
2025-03-03,Europe,Insight Pro,Enterprise,5080.23,1
2025-03-03,LATAM,Analytics Suite,Enterprise,5030.92,2
2025-03-03,North America,Data Connector,SMB,331.29,7
2025-03-03,APAC,Analytics Suite,Mid-Market,1071.85,2
2025-03-03,North America,Insight Pro,Mid-Market,1196.81,3
2025-03-04,Europe,Data Connector,Enterprise,3934.0,1
2025-03-04,North America,Insight Pro,Enterprise,3750.61,3
2025-03-04,North America,Insight Pro,SMB,305.74,2
2025-03-04,North America,Analytics Suite,SMB,408.55,2
2025-03-04,Europe,Insight Pro,Mid-Market,1062.25,4
2025-03-05,North America,Insight Pro,Mid-Market,1987.62,1
2025-03-05,Europe,Data Connector,SMB,318.06,1
2025-03-05,Europe,Insight Pro,SMB,336.09,1
2025-03-05,LATAM,Dashboard Builder,SMB,342.42,1
2025-03-05,APAC,Insight Pro,Enterprise,4834.21,3
2025-03-06,APAC,Data Connector,SMB,431.72,5
2025-03-06,North America,Data Connector,Mid-Market,1058.16,5
2025-03-06,North America,Insight Pro,SMB,295.42,3
2025-03-06,Europe,Insight Pro,Mid-Market,1188.84,3
2025-03-06,North America,Insight Pro,SMB,346.21,2
2025-03-06,North America,Data Connector,SMB,473.72,5
2025-03-06,LATAM,Data Connector,Mid-Market,909.75,6
2025-03-06,Europe,Analytics Suite,Enterprise,4052.88,1
2025-03-06,North America,Analytics Suite,Enterprise,4437.1,1
2025-03-07,North America,Data Connector,Enterprise,3801.34,2
2025-03-07,APAC,Dashboard Builder,SMB,376.27,6
2025-03-07,APAC,Data Connector,SMB,336.09,5
2025-03-07,LATAM,Data Connector,Mid-Market,953.8,3
2025-03-07,APAC,Data Connector,Mid-Market,1473.2,2
2025-03-07,APAC,Analytics Suite,Mid-Market,1815.19,2
2025-03-07,LATAM,Dashboard Builder,Enterprise,4281.84,1
2025-03-07,Europe,Analytics Suite,SMB,290.87,6
2025-03-07,APAC,Dashboard Builder,Mid-Market,1039.96,4
2025-03-08,Europe,Insight Pro,SMB,429.39,7
2025-03-08,LATAM,Analytics Suite,Enterprise,4730.57,2
2025-03-08,Europe,Dashboard Builder,SMB,401.72,5
2025-03-08,APAC,Analytics Suite,Mid-Market,1352.85,3
2025-03-08,LATAM,Insight Pro,SMB,259.72,1
2025-03-09,North America,Analytics Suite,Mid-Market,1358.52,1
2025-03-09,Europe,Data Connector,Mid-Market,1176.24,1
2025-03-09,North America,Dashboard Builder,SMB,301.92,3
2025-03-09,North America,Data Connector,Mid-Market,1111.65,1
2025-03-09,APAC,Insight Pro,SMB,343.07,5
2025-03-10,North America,Data Connector,Mid-Market,1001.8,2
2025-03-10,North America,Data Connector,SMB,360.92,5
2025-03-10,Europe,Insight Pro,Enterprise,5920.18,1
2025-03-10,North America,Analytics Suite,Mid-Market,1509.89,3
2025-03-10,APAC,Analytics Suite,Mid-Market,1539.17,2
2025-03-10,North America,Data Connector,SMB,335.19,3
2025-03-10,APAC,Dashboard Builder,SMB,291.17,1
2025-03-10,North America,Data Connector,Enterprise,2339.47,3
2025-03-11,Europe,Dashboard Builder,Enterprise,5467.32,1
2025-03-11,North America,Analytics Suite,Mid-Market,1523.12,3
2025-03-11,APAC,Dashboard Builder,Enterprise,4819.38,2
2025-03-11,Europe,Data Connector,Enterprise,3050.94,1
2025-03-11,North America,Dashboard Builder,Mid-Market,1366.56,3
2025-03-11,LATAM,Analytics Suite,Mid-Market,1121.32,4
2025-03-12,APAC,Dashboard Builder,SMB,375.11,3
2025-03-12,North America,Dashboard Builder,Mid-Market,1950.46,2
2025-03-12,APAC,Insight Pro,Mid-Market,1485.3,1
2025-03-12,Europe,Insight Pro,SMB,201.79,5
2025-03-12,North America,Insight Pro,SMB,416.35,5
2025-03-12,Europe,Dashboard Builder,Mid-Market,1703.44,3
2025-03-12,APAC,Data Connector,Enterprise,3512.38,1
2025-03-12,North America,Analytics Suite,SMB,233.72,3
2025-03-13,North America,Data Connector,SMB,529.32,3
2025-03-13,APAC,Data Connector,Enterprise,3384.32,1
2025-03-13,APAC,Dashboard Builder,Mid-Market,1266.18,4
2025-03-14,North America,Dashboard Builder,Enterprise,6007.66,2
2025-03-14,North America,Dashboard Builder,Enterprise,4839.14,2
2025-03-14,Europe,Data Connector,Mid-Market,2206.57,1
2025-03-14,LATAM,Dashboard Builder,Mid-Market,1385.83,3
2025-03-14,APAC,Dashboard Builder,SMB,442.39,4
2025-03-14,LATAM,Analytics Suite,Enterprise,4896.9,1
2025-03-15,LATAM,Analytics Suite,Enterprise,5485.25,1
2025-03-15,North America,Analytics Suite,Enterprise,5755.01,1
2025-03-15,APAC,Insight Pro,Mid-Market,1409.73,3
2025-03-15,Europe,Analytics Suite,Mid-Market,1606.45,2
2025-03-15,Europe,Analytics Suite,Mid-Market,611.66,6
2025-03-15,APAC,Data Connector,Enterprise,5173.76,1
2025-03-15,Europe,Analytics Suite,Mid-Market,1975.02,1
2025-03-15,Europe,Insight Pro,Enterprise,5647.64,1
2025-03-16,Europe,Data Connector,Enterprise,4203.94,1
2025-03-16,Europe,Dashboard Builder,Mid-Market,2114.45,1
2025-03-16,North America,Insight Pro,Mid-Market,1057.32,4
2025-03-16,North America,Analytics Suite,SMB,344.36,7
2025-03-16,North America,Insight Pro,Mid-Market,1470.81,4
2025-03-16,North America,Dashboard Builder,Enterprise,4215.58,1
2025-03-16,APAC,Analytics Suite,Mid-Market,1261.65,5
2025-03-17,North America,Insight Pro,SMB,344.21,4
2025-03-17,Europe,Data Connector,Mid-Market,1617.01,3
2025-03-17,North America,Dashboard Builder,Mid-Market,1668.56,4
2025-03-17,North America,Insight Pro,SMB,319.12,2
2025-03-17,LATAM,Dashboard Builder,Mid-Market,1138.89,5
2025-03-17,North America,Analytics Suite,SMB,395.13,3
2025-03-18,North America,Data Connector,Mid-Market,1114.54,2
2025-03-18,Europe,Dashboard Builder,Enterprise,4447.22,1
2025-03-18,LATAM,Dashboard Builder,Enterprise,6321.52,1
2025-03-18,North America,Data Connector,Mid-Market,1391.01,2
2025-03-18,North America,Insight Pro,SMB,465.22,2
2025-03-18,North America,Data Connector,Mid-Market,1520.24,2
2025-03-18,North America,Data Connector,Mid-Market,1510.56,7
2025-03-19,North America,Insight Pro,SMB,376.01,2
2025-03-19,Europe,Data Connector,Enterprise,5298.65,1
2025-03-19,North America,Data Connector,SMB,453.02,1
2025-03-19,Europe,Insight Pro,Mid-Market,1185.38,4
2025-03-19,Europe,Analytics Suite,SMB,476.38,5
2025-03-19,Europe,Analytics Suite,SMB,366.96,2
2025-03-19,APAC,Analytics Suite,Mid-Market,1034.85,1
2025-03-20,APAC,Insight Pro,Mid-Market,1262.39,2
2025-03-21,LATAM,Insight Pro,Mid-Market,980.2,4
2025-03-21,North America,Dashboard Builder,Mid-Market,1500.15,5
2025-03-21,Europe,Data Connector,Enterprise,4315.41,1
2025-03-21,Europe,Insight Pro,Mid-Market,856.09,5
2025-03-21,North America,Dashboard Builder,SMB,385.12,2
2025-03-21,Europe,Data Connector,Enterprise,3335.04,2
2025-03-22,North America,Analytics Suite,Mid-Market,1442.23,4
2025-03-22,LATAM,Dashboard Builder,Mid-Market,1686.49,2
2025-03-22,North America,Data Connector,Enterprise,4384.15,3
2025-03-22,APAC,Dashboard Builder,Mid-Market,1609.05,3
2025-03-22,APAC,Insight Pro,Mid-Market,833.26,1
2025-03-22,APAC,Data Connector,SMB,332.21,2
2025-03-22,North America,Dashboard Builder,SMB,364.41,4
2025-03-22,APAC,Insight Pro,Mid-Market,1392.56,5
2025-03-23,North America,Dashboard Builder,Enterprise,3854.77,1
2025-03-23,LATAM,Data Connector,Mid-Market,660.38,1
2025-03-23,North America,Dashboard Builder,Enterprise,6288.64,1
2025-03-23,Europe,Insight Pro,SMB,369.13,3
2025-03-23,North America,Insight Pro,Enterprise,3673.47,1
2025-03-24,Europe,Dashboard Builder,SMB,438.63,3
